E1,E2 (A),E2 (B),E2 (C),E2 (D),E3,E4,E5 (A),E5 (B),E6 (A),E6 (B),E7,E8,E9,E10,E11
0,100,47.6744186,7.692307692,10.20408163,57.60869565,51.13636364,38.83495146,0,100,66.66666667,80,66.66666667,66.66666667,100,100
0,100,0,0,0,0,66.66666667,46.83544304,0,100,100,0,60,100,50,100
0,100,0,0,0,0,72.04301075,100,85.71428571,100,64.65517241,100,60,66.66666667,100,100
0,100,0,0,85.71428571,60,100,100,0,100,100,66.66666667,60,66.66666667,100,100
0,100,19.13043478,7.5,0,0,67.96116505,100,0,100,25,0,85.71428571,0,100,100
11.76470588,100,0,63.96396396,0,0,100,100,0,100,13.58024691,0,0,100,100,100
78.16091954,100,0,28.39506173,0,66.98113208,61.16504854,71.42857143,0,100,100,0,87.5,100,100,100
75,100,12.5,87.5,8.510638298,10.66666667,0,100,78.26086957,100,100,100,0,0,100,100
0,100,0,0,11.70212766,0,100,78.08219178,0,100,30.37974684,100,71.42857143,100,100,100
83.14606742,100,0,0,92.59259259,92.85714286,100,100,10.1010101,100,100,100,0,0,100,100
96.66666667,100,0,0,0,84.31372549,100,100,0,100,100,100,0,100,100,100
0,100,0,91.30434783,0,0,66.66666667,100,46.22641509,100,100,100,60,100,100,100
0,100,87.5,61.11111111,0,0,28.03738318,0,0,100,50,100,66.66666667,0,100,100
62.61682243,100,71.42857143,0,0,94.11764706,52.08333333,71.42857143,16.83168317,100,50,100,60,100,0,100
37.14285714,100,49.07407407,0,66.66666667,49.07407407,100,0,0,100,100,100,60,0,100,100
0,100,87.5,62.5,41.97530864,77.88461538,100,78.44827586,70.21276596,100,52,100,100,100,100,100
0,100,12.64367816,37.96296296,0,0,100,100,14.28571429,100,100,100,60,87.5,100,100
0,100,40,0,12.90322581,0,100,0,0,100,100,100,71.42857143,80,100,100
0,100,0,0,37,6.837606838,100,100,25,100,100,0,60,85.71428571,100,100
0,100,44.76190476,95.0617284,3.947368421,0,77.92207792,71.42857143,48.14814815,100,100,100,71.42857143,100,100,100
67.46987952,100,0,0,68.37606838,85.71428571,44.59459459,62.93103448,0,100,100,100,0,85.71428571,100,100
0,100,0,81.81818182,68.53932584,62.5,66.66666667,56.88073394,16.66666667,100,18.66666667,0,66.66666667,66.66666667,100,100
0,100,30.76923077,67.81609195,38.31775701,0,40.74074074,100,0,100,66.66666667,100,75,100,100,100
87.5,100,50,15.78947368,0,63.36633663,100,18,0,100,11.57894737,100,100,83.33333333,100,100
74.07407407,100,0,0,79.6460177,0,69.91150442,100,16.66666667,100,84.88372093,100,0,100,100,100
0,100,0,0,0,0,100,100,87.5,100,66.66666667,0,0,83.33333333,0,100
0,100,0,0,0,0,50,100,31.81818182,100,60,66.66666667,0,85.71428571,100,100
92,100,0,92.30769231,0,7.608695652,100,21.56862745,0,100,56,100,0,85.71428571,100,100
0,100,0,0,11.76470588,0,0,100,0,100,100,100,80,100,100,100
16.07142857,100,14.28571429,0,70.10309278,39.47368421,100,50,43.67816092,100,32.60869565,100,0,100,100,100
0,100,20.25316456,0,0,0,60,66.66666667,0,100,100,100,0,0,100,100
0,100,38.7755102,0,31.19266055,41.33333333,100,100,5.333333333,100,100,75,50,100,100,100
0,100,0,46.49122807,0,0,100,100,0,100,100,100,0,0,100,100
0,100,0,0,0,0,100,60,0,100,42.30769231,100,60,75,100,100
0,100,0,0,0,0,59.48275862,30.1369863,63.06306306,100,66.66666667,100,0,100,50,100
0,100,0,6.451612903,97.36842105,0,75,100,58.75,100,66.66666667,75,50,100,100,100
0,100,87.5,0,0,0,100,100,0,100,100,100,0,75,100,100
0,100,46.07843137,0,94.87179487,0,100,100,0,100,100,100,80,100,100,100
50,100,55.12820513,50,0,0,100,100,7.894736842,100,100,0,71.42857143,85.71428571,100,100
0,100,0,0,0,78.82352941,66.66666667,100,0,100,100,100,60,100,100,100
0,100,100,0,0,0,100,0,71.42857143,100,100,0,60,100,100,100
0,100,0,0,20,0,100,100,71.56862745,100,100,100,60,80,100,100
0,100,0,33.33333333,21.91780822,0,100,100,63.71681416,100,100,80,87.5,0,100,100
0,100,0,0,0,27.63157895,100,100,0,100,100,100,87.5,100,100,100
0,100,0,71.42857143,0,0,79.01234568,17.20430108,35.78947368,100,74.3902439,100,100,0,100,100
14.5631068,100,84,65.34653465,0,63.73626374,100,100,0,100,50,0,0,100,100,100
0,100,75,62.5,10,16.88311688,100,100,0,100,100,100,66.66666667,87.5,100,100
0,100,0,0,72.80701754,0,56.41025641,44.24778761,0,100,45.23809524,100,50,100,100,100
0,100,0,0,0,0,100,100,42.34234234,100,0,0,60,83.33333333,100,100
